NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
"3248;alert notification;2022-09-29;2022.5634;Spain;Mustard (allergen) in coriander and in mixture of spices and additives;herbs and spices;food;serious;Informing recipient(s);Distribution to non-member countries only;Coriander and mixtures of spices and additives;mustard  undeclared;Allergens;Spain;Andorra,Belgium,Bulgaria,Chile,Colombia,Costa Rica,France,Honduras,Italy,Lithuania,Mexico,Panama,Portugal,Spain,Sweden;Spain"
"3249;information notification for follow-up;2022-09-28;2022.5621;France;Petit Pont l'evÃªque - E. coli;milk and milk products;food;not serious;Recall from consumer;Distribution to other member countries;Petit Pont l'Evêque;Escherichia coli  high count;Pathogenic micro-organisms;France;Belgium,Luxembourg;France"
"3250;information notification for attention;2022-09-28;2022.562;France;E. coli in bouchot mussels;bivalve molluscs and products thereof;food;not serious;Withdrawal from the market;Product (presumably) no longer on the market;Bouchot mussels;Escherichia coli  high count;Pathogenic micro-organisms;France;China,France,Hong Kong,Macao;France"
3251;border rejection notification;2022-09-28;2022.5618;Ireland;Elevated formaldehyde in melamine ramekins;food contact materials;food contact material;serious;Official detention;Product not (yet) placed on the market;Melamine ramekins;formaldehyde  migration;Migration;China;Ireland;Ireland
"3252;information notification for follow-up;2022-09-28;2022.5611;Austria;buprofezin and unauthorised substance chlorpyrifos-methyl in red chilli peppers from Turkey, via Germany;fruits and vegetables;food;undecided;Informing authorities;Product (presumably) no longer on the market;Paprika Sorte Chili (Kirmizi) // Pepper variety Chili (Kirmizi);buprofezin  ,chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Austria,Germany;Austria"
"3253;alert notification;2022-09-28;2022.5605;Poland;Migration of formaldehyde in melamine plate ;food contact materials;food contact material;serious;Public warning - press release;Distribution to other member countries;Blue melamine plate;formaldehyde  migration;Migration;China;Austria,Czech Republic,France,Germany,Italy,Luxembourg,Netherlands,Poland,Spain;Poland"
"3254;information notification for follow-up;2022-09-28;2022.5602;Finland;Unauthorised substance matrine in licorice extract powder from Turkmenistan via Germany;other food product / mixed;food;undecided;Recall from consumer;Information on distribution not (yet) available;Licorice extract powder;matrine  unauthorised substance;Pesticide residues;Finland,Turkmenistan;Finland,Sweden;Finland"
"3255;alert notification;2022-09-27;2022.5595;Netherlands;Ethylene oxide in food supplement Thyroid Energy;dietetic foods, food supplements and fortified foods;food;serious;Informing recipient(s);Distribution to other member countries;Thyroid Energy;ethylene oxide  ;Pesticide residues;United States;Austria,Estonia,France,Germany,Greece,Italy,Netherlands,Portugal,Romania,Spain,Switzerland;Netherlands"
"3256;alert notification;2022-09-27;2022.5589;France;Detection of histamine on tuna cans from Spain;fish and fish products;food;serious;Withdrawal from the market;No distribution from notifying country;Tuna cans;histamine  ;Biological contaminants;Spain;France,Spain;France"
"3257;alert notification;2022-09-27;2022.5587;Germany;Salmonella spp. in sesame paste from Turkey;nuts, nut products and seeds;food;serious;Withdrawal from the market;Distribution to other member countries;Sesame paste;Salmonella spp. ;Pathogenic micro-organisms;Turkey;Austria,France,Germany,Slovenia;Germany"
3258;alert notification;2022-09-26;2022.557;Germany;Cadmium in giant squid arms from Lithuania ;fish and fish products;food;serious;Informing recipient(s);No distribution from notifying country;Giant squid arms in broth and own juice;cadmium  ;Heavy metals;Ecuador;Germany;Germany
"3259;information notification for follow-up;2022-09-26;2022.5567;Germany;Too high content of fumaric acid in gummy bears from Turkey;confectionery;food;not serious;Withdrawal from the market;Distribution to other member countries;Gummibärchen - gummy bears;E 297 - fumaric acid  too high content;Food additives and flavourings;Turkey;Austria,Belgium,France,Germany,Hungary,Italy,Netherlands,Switzerland;Germany"
"3260;information notification for attention;2022-09-26;2022.5553;Netherlands;Salmonella enteritidis in Chicken breast from the Netherlands;poultry meat and poultry meat products;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Chikcen breast;Salmonella Enteritidis ;Pathogenic micro-organisms;Netherlands;Northern Ireland,United Kingdom;Netherlands"
3261;information notification for attention;2022-09-26;2022.5415;Netherlands;Salmonella (presence /25g) in frozen salted chicken from Thailand ;poultry meat and poultry meat products;food;serious;Physical treatment - heat treatment;No distribution from notifying country;Frozen salted chicken;Salmonella  enteritidis ;Pathogenic micro-organisms;Thailand;Netherlands;Netherlands
3262;information notification for attention;2022-09-26;2022.5413;Netherlands;Salmonella (presence /25g) in frozen salted chicken from Thailand;poultry meat and poultry meat products;food;serious;Physical treatment - heat treatment;Distribution restricted to notifying country;Frozen salted chicken;Salmonella  enteritidis ;Pathogenic micro-organisms;Thailand;Netherlands;Netherlands
"3263;alert notification;2022-09-23;2022.5541;Denmark;Pesticides in Baby Whole Okra;fruits and vegetables;food;undecided;Withdrawal from the market;Distribution to other member countries;Baby Okra Whole;organophosphate pesticides  ;Pesticide residues;Pakistan;Denmark,Sweden;Denmark"
3264;information notification for attention;2022-09-23;2022.5536;Germany;Bacillus cereus (with diarrhoeic toxin-producing capacity) in fresh spinach from Italy;fruits and vegetables;food;serious;Informing consignor;Product (presumably) no longer on the market;Fresh spinach;Bacillus cereus presumptive;Pathogenic micro-organisms;Italy;Germany;Germany
"3265;information notification for follow-up;2022-09-23;2022.5531;Finland;Unauthorised pesticide residue (chlorpyrifos) in organic green tea from India via UK and The Netherlands.;cocoa and cocoa preparations, coffee and tea;food;undecided;Recall from consumer;Information on distribution not (yet) available;Organic Green tea;chlorpyrifos  unauthorised substance;Pesticide residues;India;Finland;Finland"
"3266;information notification for follow-up;2022-09-23;2022.553;Belgium;migration of DEHP in pesto rosso sauce;soups, broths, sauces and condiments;food contact material;not serious;Withdrawal from the market;No distribution from notifying country;Pesto Rosso sauce;phthalate DEHP - di(2-ethylhexyl) migration;Migration;Italy;Belgium,Netherlands;Belgium"
3267;alert notification;2022-09-23;2022.5528;Belgium;Listeria monocytogenes in chilled pastrami from Belgium;meat and meat products (other than poultry);food;serious;Recall from consumer;Distribution to other member countries;Pastrami;Listeria monocytogenes ;Pathogenic micro-organisms;Belgium;Netherlands;Belgium
"3268;alert notification;2022-09-22;2022.5519;Germany;Salmonella spp. detected in organic cheese-flavoured protein chips from Denmark;prepared dishes and snacks;food;serious;Detained by operator;Distribution to other member countries;Protein chips;Salmonella  enteritidis ,Salmonella spp. ;Pathogenic micro-organisms;Denmark;Belgium,Germany,Luxembourg,Netherlands;Germany"
"3269;information notification for follow-up;2022-09-22;2022.551;Netherlands;Fluorine in Monocalcium phosphate from Turkey;feed materials;feed;undecided;Informing recipient(s);Distribution to other member countries;MonoCalcium Phosphate;fluorine  too high content;Composition;Turkey;Belgium,Netherlands;Netherlands"
3270;information notification for follow-up;2022-09-22;2022.5509;Italy;Presence of Salmonella Isangi in animal by product to be used as feed material from Germany;animal by-products;feed;not serious;Detained by operator;No distribution from notifying country;Black pollock fish meal;Salmonella Isangi ;Pathogenic micro-organisms;Germany;Italy;Italy
"3271;alert notification;2022-09-22;2022.5505;Belgium;Yersinia enterocolitica in smoked chicken breast;poultry meat and poultry meat products;food;serious;Withdrawal from the market;Distribution to other member countries;Smoked chicken/duck breast;Yersinia enterocolitica ;Pathogenic micro-organisms;Hungary;Belgium,Democratic Republic of the Congo,Netherlands,Portugal,United Kingdom;Belgium"
3272;alert notification;2022-09-22;2022.5502;Netherlands;Salmonella enteritidis in duck liver from the Netherlands;poultry meat and poultry meat products;food;serious;Informing recipient(s);Distribution to other member countries;Duck liver;Salmonella Enteritidis ;Pathogenic micro-organisms;Netherlands;Denmark;Netherlands
3273;information notification for attention;2022-09-22;2022.5501;Belgium;lead in organic wholegrain biscuits for toddlers with apple and chia seeds from Belgium;cereals and bakery products;food;serious;Informing recipient(s);Distribution to non-member countries only;Cookies for young children;lead  ;Heavy metals;Belgium;Australia;Belgium
3274;information notification for attention;2022-09-21;2022.5496;Netherlands;Escherichia coli in mussels from Netherlands;bivalve molluscs and products thereof;food;serious;No action taken;Product (presumably) no longer on the market;Mussels;Escherichia coli  ;Pathogenic micro-organisms;Netherlands;France;Netherlands
3275;alert notification;2022-09-21;2022.5495;Poland;Listeria monocytogenes in cheese from Poland;milk and milk products;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Mature cheese EIDAM/ ser dojrzewaj?cy EIDAM;Listeria monocytogenes ;Pathogenic micro-organisms;Poland;Slovakia;Poland
"3276;information notification for follow-up;2022-09-21;2022.5493;Germany;Unapproved genetically modified papaya from Cambodia, via Czech Republic ;fruits and vegetables;food;potential risk;No stock left;No distribution from notifying country;Papaya;genetically modified  unidentified;Genetically modified;Cambodia;Germany;Germany"
3277;information notification for follow-up;2022-09-21;2022.5485;Belgium;Salmonella in petfood from Netherlands;pet food;feed;not serious;Return to consignor;No distribution from notifying country;Petfood;Salmonella infantis ;Pathogenic micro-organisms;Netherlands;Belgium;Belgium
3278;information notification for attention;2022-09-20;2022.547;Germany;High sulphur dioxide content and labelling deficiencies of pickled turnips from Egypt;fruits and vegetables;food;serious;Monitoring of the recall/withdrawal;No distribution from notifying country;Pickled turnips;sulphur dioxide (SO2)  ;Chemical contamination (other);Egypt;Germany;Germany
"3279;information notification for attention;2022-09-20;2022.5469;Finland;norovirus (GI /2g) in live oysters (Crassostrea gigas) from France, via Netherlands ;bivalve molluscs and products thereof;food;serious;No stock left;Product (presumably) no longer on the market;Oysters;norovirus  ;Pathogenic micro-organisms;France;Finland;Finland"
"3280;alert notification;2022-09-20;2022.5465;Spain;Salmonella in mechanically separated pigmeat from Spain;meat and meat products (other than poultry);food;serious;Informing recipient(s);Distribution to other member countries;Mechanically separated pigmeat;Salmonella spp. ;Pathogenic micro-organisms;Spain;Greece,Italy,Netherlands,Spain;Spain"
"3281;border rejection notification;2022-09-20;2022.5459;Greece;Presence of Salmonella spp. in hulled sesame seeds from India;nuts, nut products and seeds;food;serious;Return to consignor;Product not (yet) placed on the market;Hulled sesame seeds from India;Salmonella  enteritidis ;Pathogenic micro-organisms;India;Greece;Greece"
3282;border rejection notification;2022-09-20;2022.5456;Germany;Enterobacteriaceae in dog chews from Turkey;pet food;feed;serious;Return to consignor;Product not (yet) placed on the market;Dog chews;Enterobacteriaceae  too high count;Non-pathogenic micro-organisms;Turkey;Germany;Germany
3283;information notification for attention;2022-09-20;2022.5453;Lithuania;Too high content of trans fatty acids in biscuits from Ukraine;confectionery;food;not serious;Prohibition to trade - sales ban;Distribution restricted to notifying country;Biscuits;trans fatty acids  too high content;Composition;Ukraine;Lithuania;Lithuania
"3284;information notification for attention;2022-09-20;2022.5452;France;detection of vibrio vulnifucis in a batch of shrimp;crustaceans and products thereof;food;serious;Recall from consumer;Distribution restricted to notifying country;Frozen shrimp;Vibrio vulnificus ;Pathogenic micro-organisms;Ecuador;Ecuador,France;France"
"3285;information notification for follow-up;2022-09-20;2022.5448;Netherlands;Paraquat in lupinen from Australia;compound feeds;feed;not serious;Informing recipient(s);Distribution to other member countries;Lupinen;pesticide residues  ;Pesticide residues;Australia;Italy,Netherlands;Netherlands"
"3286;border rejection notification;2022-09-20;2022.5442;Belgium;Pesticides residues in rice from India;cereals and bakery products;food;serious;Product (to be) redispatched or destroyed;Product not (yet) placed on the market;Rice;imidacloprid  ,thiamethoxam  ,tricyclazole  unauthorised substance;Pesticide residues;India;Italy,United Kingdom;Belgium"
"3287;alert notification;2022-09-19;2022.544;Belgium;pesticide chlorpyrifos in hot mixture from India with destination Germany;cereals and bakery products;food;serious;Informing authorities;Distribution to other member countries;Hot Mixture;carbendazim  unauthorised substance,chlorpyrifos  unauthorised substance;Pesticide residues;India;Germany;Belgium"
"3288;information notification for attention;2022-09-19;2022.5438;Germany;Propiconazole in lychees from Cambodia;fruits and vegetables;food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Lychee;propiconazole  ;Pesticide residues;Cambodia;Czech Republic,Germany;Germany"
"3289;information notification for attention;2022-09-19;2022.5432;Germany;Monocrotophos in Amla berries from India;fruits and vegetables;food;serious;Reinforced checking;Product not (yet) placed on the market;Amla berries (Phyllanthus emblica);lambda-cyhalothrin  ,monocrotophos  unauthorised substance;Pesticide residues;India;Germany;Germany"
"3290;alert notification;2022-09-19;2022.5424;Belgium;Cadmium in spinach;fruits and vegetables;food;serious;Recall from consumer;Distribution to other member countries;Spinach;cadmium  ;Heavy metals;Belgium;Bahamas,Belgium,France,Germany,Greece,Hong Kong,Italy,Luxembourg,Netherlands,Sweden,United Kingdom,United States;Belgium"
"3291;information notification for follow-up;2022-09-16;2022.5414;Germany;Undeclared allergen (mustard) in scrambled egg substitute from Germany;other food product / mixed;food;not serious;Withdrawal from the market;Distribution to other member countries;Egg replacement product;mustard  undeclared;Allergens;Germany;Austria,Belgium,Czech Republic,Germany,Greece,Italy,Luxembourg,Netherlands,Poland,Switzerland;Germany"
"3292;information notification for follow-up;2022-09-16;2022.541;Italy;Presenza di migrazione di cromo superiore alla norma in coltelli da tavola inox/migration of chromium form stainless kitchen knives from China, via Italy;food contact materials;food contact material;undecided;Withdrawal from the market;Distribution to other member countries;Coltelli da tavola inox/stainless steel kitchen knives;chromium  too high content;Heavy metals;China;Italy;Italy"
"3293;information notification for attention;2022-09-16;2022.5409;Germany;Unauthorized substance ciprofloxacin in shrimp skewers from Vietnam, via Singapore;crustaceans and products thereof;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Shrimp skewers;ciprofloxacin  residue level above MRL;Residues of veterinary medicinal products;Vietnam;Germany,Singapore;Germany"
3294;information notification for follow-up;2022-09-16;2022.5396;Finland;Salmonella Tennessee in rapeseed meal from Germany;feed materials;feed;not serious;Chemical treatment;No distribution from notifying country;Rapeseed meal;Salmonella Tennessee ;Pathogenic micro-organisms;Germany;Finland;Finland
"3295;information notification for follow-up;2022-09-15;2022.5388;Lithuania;The organoleptic (taste) results of paper baking cups from China do not meet the requirements;food contact materials;food contact material;not serious;Withdrawal from the market;Distribution to other member countries;Paper baking cups;organoleptic characteristics unsuitable ;Organoleptic aspects;China;Estonia,Latvia,Lithuania;Lithuania"
"3296;alert notification;2022-09-15;2022.5371;Netherlands;Chloorpyrifos in avocado from Kenya;fruits and vegetables;food;serious;Informing recipient(s);Distribution to other member countries;Avocado;chlorpyrifos  unauthorised substance;Pesticide residues;Kenya;Belgium,Denmark,Germany,Ireland,Luxembourg,Malta,Norway,Sweden;Netherlands"
"3297;alert notification;2022-09-14;2022.5368;Belgium;Pesticides residues in rosemary from Israel;herbs and spices;food;serious;Informing authorities;Distribution to other member countries;Rosemary;bifenthrin  ,bromopropylate  ,chlorfenapyr  unauthorised substance,chlorothalonil  ,chlorpyrifos  unauthorised substance,triadimenol  ;Pesticide residues;Israel;Netherlands,Slovakia,Switzerland,United Kingdom,United States;Belgium"
"3298;alert notification;2022-09-14;2022.5367;Netherlands;Cadmium in cooked mussel meat from Chile;bivalve molluscs and products thereof;food;serious;Informing recipient(s);Distribution to other member countries;Cooked mussel meat (mytilus chilensis);cadmium  ;Heavy metals;Chile;Belgium,Germany,Italy,Luxembourg,Monaco,Netherlands,United Kingdom;Netherlands"
3299;alert notification;2022-09-14;2022.5365;Germany;Residues of carbendazim in grape leaves in brine from the United Arab Emirates;fruits and vegetables;food;serious;Product (to be) redispatched or destroyed;No distribution from notifying country;Weinblätter in Lake - Grape leaves in brine;carbendazim  unauthorised substance;Pesticide residues;United Arab Emirates;Germany;Germany
"3300;alert notification;2022-09-14;2022.5363;Germany;3-MCPD and glycidyl esters in strawberry flavour coated marshmallow biscuits from Turkey;confectionery;food;serious;Withdrawal from the market;Distribution to other member countries;Sandwich pastries//// strawberry flavour coated marshmallow biscuits;fatty acid ethyl esters (FAEEs)  unauthorised food additive;Composition;Turkey;Austria,Croatia,Czech Republic,Germany,Hungary,Italy,Poland,Romania,Slovakia,Slovenia,Spain;Germany"
"3301;alert notification;2022-09-14;2022.5357;Germany;Salmonella spp. in vanilla-flavoured halva from Turkey ;confectionery;food;serious;Informing recipient(s);Distribution to other member countries;Halva;Salmonella spp  ;Pathogenic micro-organisms;Turkey;Czech Republic,France,Germany,Italy,Netherlands;Germany"
"3302;alert notification;2022-09-14;2022.5351;Slovakia;tin content exceeded in mandarin-oranges in light syrup from Turkey, via Germany;fruits and vegetables;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Mandarin-Oranges in light syrup;tin  ;Heavy metals;Turkey;Germany,Slovakia;Slovakia"
3303;information notification for attention;2022-09-14;2022.5347;France;Detection of vibrio vulnificus in frozen raw shrimps;crustaceans and products thereof;food;serious;Recall from consumer;No distribution to other member countries;Frozen shrimp;Vibrio vulnificus ;Pathogenic micro-organisms;Ecuador;Ecuador;France
"3304;alert notification;2022-09-13;2022.5343;Poland;Salmonella Enteritidis in frozen chicken fillet from Ukraine;poultry meat and poultry meat products;food;serious;Informing authorities;Distribution to other member countries;Chicken fillet, frozen;Salmonella Enteritidis ;Pathogenic micro-organisms;Ukraine;Netherlands;Poland"
"3305;information notification for attention;2022-09-13;2022.5341;France;Vibrio vulnificus detected in frozen whole raw shrimps (Penaeus vannamei) from Venezuela;crustaceans and products thereof;food;serious;Recall from consumer;Distribution restricted to notifying country;Shrimp frozen;Vibrio vulnificus ;Pathogenic micro-organisms;Venezuela;France,Venezuela;France"
"3306;information notification for attention;2022-09-13;2022.534;Italy;Migration of formaldehyde in melamine cups from Turkey;food contact materials;food contact material;serious;Withdrawal from recipient(s);Distribution restricted to notifying country;Melamine cups;formaldehyde  migration,migration overall too high level;Migration;Turkey;Italy,Turkey;Italy"
"3307;border rejection notification;2022-09-13;2022.5334;Belgium;aflatoxins in groundnuts from Nigeria;nuts, nut products and seeds;food;serious;Informing authorities;Product not (yet) placed on the market;Groundnuts;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Nigeria;Belgium;Belgium"
"3308;border rejection notification;2022-09-13;2022.5325;Poland;exceeding the maximum permissible level of pesticide residues: dinotefuran and tolfenpyrad in the product entitled: \Black tea - Black tea\"""";cocoa and cocoa preparations, coffee and tea;food;serious;Reinforced checking;Product not (yet) placed on the market;Black tea;dinotefuran  unauthorised substance,tolfenpyrad  ;Pesticide residues;Taiwan;Poland;Poland"
3309;border rejection notification;2022-09-13;2022.5318;Croatia;Chlorpyrifos in fresh plums from Republic of North Macedonia;fruits and vegetables;food;serious;Product (to be) redispatched or destroyed;Product allowed to travel to destination under customs seals;Fresh plums;chlorpyrifos  ;Pesticide residues;Republic of North Macedonia;Croatia;Croatia
"3310;alert notification;2022-09-12;2022.5314;Germany;Migration of nonylphenol from preserving jars from China, via the Netherlands;food contact materials;food contact material;serious;Recall from consumer;No distribution from notifying country;Preserving jars;migration overall too high level;Migration;China;Austria,Congo (Brazzaville),Democratic Republic of the Congo,Finland,France,Germany,Hungary,Italy,Netherlands,Slovakia,Sweden,Switzerland;Germany"
"3311;information notification for follow-up;2022-09-12;2022.5313;Latvia;The pesticide omethoate 0.17 Â± 0,09 mg/kg in frozen strawberries from China;fruits and vegetables;food;undecided;Withdrawal from the market;No distribution from notifying country;Frozen strawberries;omethoate  ;Pesticide residues;China;Denmark,Iceland,Latvia;Latvia"
3312;information notification for follow-up;2022-09-12;2022.5311;Germany;Genetically modified organisms in rice noodles from Vietnam;cereals and bakery products;food;undecided;No stock left;Distribution restricted to notifying country;Rice noodles;genetically modified  unauthorised;Genetically modified;Vietnam;Germany;Germany
"3313;information notification for attention;2022-09-12;2022.5307;Netherlands;Cadmium in green asparagus from Peru;fruits and vegetables;food;serious;Informing recipient(s);No distribution from notifying country;Green asparagus;cadmium  ;Heavy metals;Peru;Austria,Belgium,Germany,Italy,Latvia,Luxembourg,Netherlands,Norway,Poland,Portugal;Netherlands"
"3314;alert notification;2022-09-12;2022.5306;Switzerland;Chlorpyrifos in dried chili and ethion in ground chili;fruits and vegetables;food;serious;Informing recipient(s);Distribution to other member countries;Dried and ground chili;chlorpyrifos  unauthorised substance,ethion  ,triazophos  ;Pesticide residues;Thailand;Austria,Belgium,Croatia,Czech Republic,Denmark,Faeroe Islands,Finland,France,Germany,Gibraltar,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Slovenia,Spain,Sweden,Switzerland;Switzerland"
"3315;alert notification;2022-09-12;2022.5305;Belgium;Pesticides residues in basil from Ethiopia;herbs and spices;food;serious;Informing authorities;Distribution to other member countries;Basil;dithiocarbamates  ;Pesticide residues;Ethiopia;Austria,Netherlands;Belgium"
"3316;information notification for attention;2022-09-12;2022.5304;Poland;Salmonella Infantis in chilled chicken meat from Poland;poultry meat and poultry meat products;food;not serious;Reinforced checking;Product (presumably) no longer on the market;Chicken meat;Salmonella infantis ;Pathogenic micro-organisms;Poland;Czech Republic,Poland;Poland"
"3317;border rejection notification;2022-09-12;2022.5298;Norway;Acephate and methamidophos in drumstick (moringa oleifera) from India;fruits and vegetables;food;undecided;Seizure;No distribution from notifying country;Fresh vegetables;acephate  unauthorised substance,methamidophos  unauthorised substance;Pesticide residues;India;Norway;Norway"
"3318;information notification for follow-up;2022-09-12;2022.5293;Estonia;11 specimens of tapeworms form Order Trypanorhyncha was found from frozen Alaska pollock fillets.;fish and fish products;food;not serious;Informing recipient(s);Distribution to other member countries;Frozen Alaska Polloc fillets skinless;parasitic infestation  ;Parasitic infestation;China;Estonia,Lithuania;Estonia"
"3319;alert notification;2022-09-12;2022.5292;Poland;ochratoxin A (16.4 Âµg/kg - ppb) in organic whole grain rye pasta from Poland;cereals and bakery products;food;serious;Withdrawal from the market;Distribution to other member countries;100% whole grain rye pasta (organic)/Bartolini Eko makaron 100 % ?ytni pe?noziarnisty (ekologiczny);ochratoxin A  ;Mycotoxins;Poland;Norway,Poland;Poland"
3320;information notification for attention;2022-09-12;2022.529;Italy;Presence of histamine beyond legal limits in anchovy fillets from Albania;fish and fish products;food;serious;Recall from consumer;Distribution restricted to notifying country;Filetti di alici in olio di oliva/anchovy fillets in olive oil;histamine  ;Biological contaminants;Albania;Italy;Italy
"3321;information notification for attention;2022-09-12;2022.528;Germany;Aflatoxins in apricot kernels from Turkey;nuts, nut products and seeds;food;serious;Detained by operator;Product not (yet) placed on the market;Apricot kernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Turkey;Germany;Germany"
3322;alert notification;2022-09-12;2022.5277;Poland;Salmonella CO in chicken kebab from Poland;poultry meat and poultry meat products;food;serious;Informing recipient(s);Distribution to other member countries;Chicken kebab;Salmonella group C ;Pathogenic micro-organisms;Poland;Germany;Poland
"3323;alert notification;2022-09-09;2022.5268;Germany;Salmonella spp. in sesame;nuts, nut products and seeds;food;serious;Withdrawal from the market;Distribution to other member countries;Sesame;Salmonella  ,Salmonella spp. ;Pathogenic micro-organisms;Chad,Germany;Austria,Bulgaria,Germany,Italy;Germany"
3324;information notification for attention;2022-09-09;2022.5266;Italy; Presenza non consentita di Stagno e cessione significativa di Ferro e Stagno in formine per frolla in acciaio AISI 202 dalla Cina//Unauthorized presence of Tin and significant transfer of Iron and Tin into AISI 202 shortbread steel molds from China;food contact materials;food contact material;not serious;Informing consignor;Distribution restricted to notifying country;Molds in AISI 202 steel // Formine per frolla in acciaio AISI 202;tin  unauthorised substance;Heavy metals;China;Italy;Italy
"3325;alert notification;2022-09-09;2022.5265;Latvia;Salmonella Typhimurium in food supplement from Lithuania     ;dietetic foods, food supplements and fortified foods;food;serious;Withdrawal from the market;No distribution from notifying country;Fiber Colon Detox;Salmonella  enteritidis ,Salmonella typhimurium ;Pathogenic micro-organisms;Egypt,Lithuania;Estonia,Latvia,Lithuania;Latvia"
"3326;border rejection notification;2022-09-09;2022.5264;Belgium;Pesticides residues in rice from Bangladesh;cereals and bakery products;food;serious;Product (to be) redispatched or destroyed;Product not (yet) placed on the market;Rice;carbendazim  unauthorised substance,chlorpyrifos  unauthorised substance,tricyclazole  unauthorised substance;Pesticide residues;Bangladesh;Portugal;Belgium"
"3327;information notification for follow-up;2022-09-09;2022.5263;Belgium;Salmonella Senftenberg detected in soy flour from the Netherlands, with raw material from Hungary;feed materials;feed;not serious;Official detention;Distribution to other member countries;Soy flour;Salmonella Senftenberg ;Pathogenic micro-organisms;Belgium,Hungary;Austria,Belgium,Germany,Italy,Netherlands,Slovenia;Belgium"
3328;information notification for attention;2022-09-09;2022.5261;Poland;Listeria monocytogenes in chilled beef tartare from Poland;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Beef tartare;Listeria monocytogenes ;Pathogenic micro-organisms;Poland;Czech Republic;Poland
"3329;information notification for attention;2022-09-09;2022.526;Latvia;Salmonella Infantis (in 3 out of 5 samples) in fresh chicken leg quarter from Poland;poultry meat and poultry meat products;food;not serious;Withdrawal from the market;Product (presumably) no longer on the market;Fresh chicken leg quarter;Salmonella infantis ;Pathogenic micro-organisms;Poland;Estonia,Latvia,Lithuania,Poland,United Kingdom;Latvia"
3330;information notification for attention;2022-09-09;2022.5259;Slovenia;Bacillus cereus in humus;other food product / mixed;food;undecided;Recall from consumer;No distribution from notifying country;Humus;Bacillus cereus enterotoxin producing ;Pathogenic micro-organisms;Serbia;Slovenia;Slovenia
"3331;alert notification;2022-09-09;2022.5257;Austria;Aflatoxins in almond meal from Spain, via Germany;cereals and bakery products;food;serious;Detained by operator;No distribution from notifying country;Mandelmehl // almond meal;aflatoxin total ;Mycotoxins;Austria,Spain;Austria,Germany;Austria"
3332;alert notification;2022-09-09;2022.5256;Sweden;Patulin in appel juice from Denmark;non-alcoholic beverages;food;serious;Recall from consumer;No distribution to other member countries;Appel juice;patulin  ;Mycotoxins;Denmark;Sweden;Sweden
3333;alert notification;2022-09-09;2022.5255;France;Listeria monocytogenes in smoked herring fillets from France;fish and fish products;food;serious;Withdrawal from the market;Distribution to other member countries;Smoked herring;Listeria monocytogenes ;Pathogenic micro-organisms;France;Switzerland;France
3334;information notification for attention;2022-09-09;2022.5245;Czech Republic;Undeclared celery in flavoured instant noodles from Vietnam;prepared dishes and snacks;food;serious;Withdrawal from the market;No distribution from notifying country;Instant noodles;celery  undeclared;Allergens;Vietnam;Czech Republic;Czech Republic
"3335;information notification for follow-up;2022-09-09;2022.5244;Germany;Unauthorized novel food ingredients Canavalia gladiata and Pandanus amaryllifolius in rice cakes from Taiwan, via the Netherlands;confectionery;food;undecided;No stock left;No distribution from notifying country;Rice cake;sword beans (Canavalia gladiata) unauthorised;GMO / novel food;Taiwan;Germany,Netherlands;Germany"
3336;information notification for attention;2022-09-09;2022.5242;Austria;Campylobacter in chicken from Hungary;poultry meat and poultry meat products;food;undecided;Informing authorities;Product (presumably) no longer on the market;Hühnerfleisch // chicken;Campylobacter coli ;Pathogenic micro-organisms;Hungary;Austria;Austria
"3337;information notification for follow-up;2022-09-09;2022.5241;Finland;Salmonella Yoruba in Soya bean meal from NL;feed materials;feed;not serious;Chemical treatment;No distribution from notifying country;Soya bean meal, gmo;Salmonella Yoruba ;Pathogenic micro-organisms;Netherlands;Finland;Finland"
"3338;information notification for follow-up;2022-09-09;2022.5236;Finland;Salmonella Infantis in frozen broiler chicken thighs from Poland via Estonia;poultry meat and poultry meat products;food;not serious;Withdrawal from recipient(s);No distribution from notifying country;Broiler chicken thighs;Salmonella infantis ;Pathogenic micro-organisms;Poland;Estonia,Finland,Germany,Latvia,Lithuania,Poland,United Kingdom;Finland"
"3339;information notification for follow-up;2022-09-09;2022.5234;Germany;unauthorised-novel food ingredient Canavalia gladiate in Japanese-style rice cake from Taiwan, via the Netherlands;confectionery;food;undecided;No stock left;No distribution from notifying country;Japanese-Style Rice Cake with Green Tea;sword beans (Canavalia gladiata) unauthorised;GMO / novel food;Taiwan;Germany,Netherlands;Germany"
